timestamp,price
2024-06-01T00:00:00Z,1.20
2024-06-01T01:00:00Z,1.21
2024-06-01T02:00:00Z,1.22
2024-06-01T03:00:00Z,1.23
2024-06-01T04:00:00Z,1.24
2024-06-01T05:00:00Z,1.25
2024-06-01T06:00:00Z,1.26
2024-06-01T07:00:00Z,1.27
2024-06-01T08:00:00Z,1.28
2024-06-01T09:00:00Z,1.29
2024-06-01T10:00:00Z,1.30
2024-06-01T11:00:00Z,1.31
2024-06-01T12:00:00Z,1.32
2024-06-01T13:00:00Z,1.33
2024-06-01T14:00:00Z,1.34
2024-06-01T15:00:00Z,1.35
2024-06-01T16:00:00Z,1.36
2024-06-01T17:00:00Z,1.37
2024-06-01T18:00:00Z,1.38
2024-06-01T19:00:00Z,1.39
2024-06-01T20:00:00Z,1.40
2024-06-01T21:00:00Z,1.41
2024-06-01T22:00:00Z,1.42
2024-06-01T23:00:00Z,1.43
