timestamp,price
2024-10-05T00:00:00Z,2.50
2024-10-05T01:00:00Z,2.51
2024-10-05T02:00:00Z,2.52
2024-10-05T03:00:00Z,2.53
2024-10-05T04:00:00Z,2.54
2024-10-05T05:00:00Z,2.55
2024-10-05T06:00:00Z,2.56
2024-10-05T07:00:00Z,2.57
2024-10-05T08:00:00Z,2.58
2024-10-05T09:00:00Z,2.59
2024-10-05T10:00:00Z,2.60
2024-10-05T11:00:00Z,2.61
2024-10-05T12:00:00Z,2.62
2024-10-05T13:00:00Z,2.63
2024-10-05T14:00:00Z,2.64
2024-10-05T15:00:00Z,2.65
2024-10-05T16:00:00Z,2.66
2024-10-05T17:00:00Z,2.67
2024-10-05T18:00:00Z,2.68
2024-10-05T19:00:00Z,2.69
2024-10-05T20:00:00Z,2.70
2024-10-05T21:00:00Z,2.71
2024-10-05T22:00:00Z,2.72
2024-10-05T23:00:00Z,2.73
