targetDate,timestamp,blockNumber,reserve,symbol,liquidityIndex,currentLiquidityRate,variableBorrowIndex,currentVariableBorrowRate,currentStableBorrowRate,totalAToken,totalStableDebt,totalVariableDebt,price,date
2024-01-01T00:00:00Z,1704067200,18908894,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0361969326346498,0.0816242174451201,1.0494393004973817,0.1000292479981481,0.1480280780782222,436727963.715508,0.0,395987308.4507,0.99965,2024-01-01
2024-01-02T00:00:00Z,1704153600,18916001,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0363834971546595,0.0815600041836566,1.049670796701746,0.0999516955358189,0.1479536277143861,436161722.874163,0.0,395477852.832318,1.00009,2024-01-02
2024-01-03T00:00:00Z,1704240000,18923123,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0366571227895744,0.0587492514199943,1.05000932162676,0.0722912054888928,0.1213995572693371,443433663.162963,0.0,400446796.263705,1.00063367,2024-01-03
2024-01-04T00:00:00Z,1704326400,18930252,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0368999190634254,0.0402953421727899,1.0503096308944613,0.0498735080056486,0.0998988064045189,440389347.900218,0.0,395396046.463454,1.00087244,2024-01-04
2024-01-05T00:00:00Z,1704412800,18937380,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.03708825861874,0.0755331058687061,1.0505436763892724,0.092665035827024,0.1409584343939431,441401287.85793,0.0,399828963.016057,1.0009389,2024-01-05
2024-01-06T00:00:00Z,1704499200,18944480,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.037244825736366,0.0386714362581242,1.0507405525510185,0.0488582203415755,0.0990865762732604,517048901.603738,0.0,454719090.849412,1.00067,2024-01-06
2024-01-07T00:00:00Z,1704585600,18951538,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0373525037542888,0.0384395356588625,1.050878772724511,0.0487115062704867,0.0989692050163893,521678899.932037,0.0,457418700.151763,1.0006772,2024-01-07
2024-01-08T00:00:00Z,1704672000,18958621,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0375385458461728,0.0905074480829359,1.0511106433787687,0.1107410671739753,0.1583114244870163,523610818.969431,0.0,475507252.547652,1.00052,2024-01-08
2024-01-09T00:00:00Z,1704758400,18965710,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0378088805935575,0.1011695450866499,1.051445271895438,0.1235543096932786,0.1706121373055474,524531770.899256,0.0,477253593.747174,1.0005869,2024-01-09
2024-01-10T00:00:00Z,1704844800,18972837,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0380313467461109,0.0526548557180757,1.0517194524804008,0.0648631691939426,0.1142686424261849,536857429.217623,0.0,484276861.894563,1.00053086,2024-01-10
2024-01-11T00:00:00Z,1704931200,18979977,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0382882702475988,0.0595225703942071,1.0520365922048165,0.0732325979915134,0.1223032940718528,540045458.773634,0.0,487768442.287775,1.00053846,2024-01-11
2024-01-12T00:00:00Z,1705017600,18987103,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.038515265505071,0.0655412673332763,1.0523181612484551,0.0805505721060727,0.1293285492218298,560516858.67598,0.0,506815252.328815,1.00039,2024-01-12
2024-01-13T00:00:00Z,1705104000,18994253,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0386545306564607,0.0395361877339154,1.052492160921605,0.0494014717966357,0.0995211774373085,576594111.849868,0.0,512724454.151718,1.00003824,2024-01-13
2024-01-14T00:00:00Z,1705190400,19001406,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0387852934802195,0.0387665657076563,1.0526572433476955,0.0489182775983441,0.0991346220786753,595824727.2316,0.0,524649901.257304,0.99978,2024-01-14
2024-01-15T00:00:00Z,1705276800,19008564,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0389140047093837,0.0707564666117908,1.052818487709336,0.0868789943442762,0.1354038345705052,588120999.385884,0.0,532217364.759762,0.99974559,2024-01-15
2024-01-16T00:00:00Z,1705363200,19015723,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0390780156939068,0.1215783682173597,1.0530230461398196,0.148161614995504,0.1946351503956839,589751055.709514,0.0,537735339.481024,0.99962906,2024-01-16
2024-01-17T00:00:00Z,1705449600,19022889,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0392869573907395,0.0911202530568025,1.053283071073347,0.1116400509946101,0.1595744489548257,595313739.276293,0.0,539919968.82196,0.99925742,2024-01-17
2024-01-18T00:00:00Z,1705536000,19030032,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0394829988604952,0.0544395143224495,1.053527418299674,0.0671382767047624,0.1168527456365719,599084282.496692,0.0,539795484.031716,0.99937471,2024-01-18
2024-01-19T00:00:00Z,1705622400,19037185,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0396849906200685,0.0469415329916631,1.053779173818376,0.0589673688744465,0.109311579249631,625935758.835965,0.0,553706706.763441,0.99904498,2024-01-19
2024-01-20T00:00:00Z,1705708800,19044348,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0398260427919905,0.0467267742955347,1.0539576214846595,0.058832325641691,0.109221550427794,611627091.944378,0.0,539819733.640285,0.99891,2024-01-20
2024-01-21T00:00:00Z,1705795200,19051514,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.039959459834762,0.0467677038600592,1.0541273281035388,0.058858086615217,0.1092387244101446,614190775.958283,0.0,542327274.549332,0.99934,2024-01-21
2024-01-22T00:00:00Z,1705881600,19058586,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,1.0402286709605588,0.1236548880388545,1.0544609097191546,0.1506376242859882,0.1970121193145486,593933832.121486,0.0,541812475.711078,0.99941,2024-01-22
