timestamp,date,hour,liquidityIndex,variableBorrowIndex,liquidity_growth_factor,borrow_growth_factor,liquidity_apy_hourly,borrow_apy_hourly,liquidity_ccr_hourly,borrow_ccr_hourly,currentLiquidityRate,currentVariableBorrowRate,totalAToken,totalVariableDebt,utilization_rate,oracle_price_usd,source
2024-05-12 01:00:00+00:00,2024-05-12,1,1.0005409621500296,1.0049311331861703,1.000000002970178,1.0000003284119288,2.6019098638530025e-05,0.0028810302371855556,2.6018760147654515e-05,0.002876888023559735,1.40369429193e-05,0.0030427367484768,985776.7692331681,5350.202028760896,0.0054273971509014125,3394.1837147320834,aave_hourly_interpolated
2024-05-12 02:00:00+00:00,2024-05-12,2,1.0005409651218142,1.004931463217434,1.0000000029701779,1.0000003284118213,2.6019096693419286e-05,0.002881029293039905,2.6018758202594385e-05,0.002876887082126382,1.40369429193e-05,0.0030427367484768,985771.7196446921,5350.203486225575,0.0054274264310950025,3395.2113060541665,aave_hourly_interpolated
2024-05-12 03:00:00+00:00,2024-05-12,3,1.000540968093599,1.0049317932486974,1.000000002970178,1.0000003284117132,2.6019098638530025e-05,0.002881028343042047,2.6018760147654515e-05,0.0028768861348576324,1.40369429193e-05,0.0030427367484768,985766.6700562161,5350.204943690254,0.005427455711588569,3396.23889737625,aave_hourly_interpolated
2024-05-12 04:00:00+00:00,2024-05-12,4,1.0005409710653839,1.004932123279961,1.000000002970178,1.0000003284116055,2.6019098638530025e-05,0.0028810273969459566,2.6018760147654515e-05,0.002876885191479441,1.40369429193e-05,0.0030427367484768,985761.62046774,5350.206401154934,0.0054274849923821155,3397.2664886983334,aave_hourly_interpolated
2024-05-12 05:00:00+00:00,2024-05-12,5,1.0005409740371687,1.0049324533112245,1.000000002970178,1.0000003284114973,2.6019098638530025e-05,0.0028810264469480984,2.6018760147654515e-05,0.0028768842442106896,1.40369429193e-05,0.0030427367484768,985756.5708792639,5350.207858619613,0.005427514273475647,3398.2940800204165,aave_hourly_interpolated
2024-05-12 06:00:00+00:00,2024-05-12,6,1.0005409770089533,1.0049327833424881,1.0000000029701779,1.0000003284113899,2.6019096693419286e-05,0.002881025502802448,2.6018758202594385e-05,0.002876883302777333,1.40369429193e-05,0.0030427367484768,985751.521290788,5350.209316084292,0.005427543554869167,3399.3216713425,aave_hourly_interpolated
2024-05-12 07:00:00+00:00,2024-05-12,7,1.000540979980738,1.0049331133737516,1.000000002970178,1.0000003284112817,2.6019098638530025e-05,0.0028810245528048117,2.6018760147654515e-05,0.002876882355508801,1.40369429193e-05,0.0030427367484768,985746.4717023119,5350.210773548972,0.005427572836562681,3400.3492626645834,aave_hourly_interpolated
2024-05-12 08:00:00+00:00,2024-05-12,8,1.000540982952523,1.0049334434050152,1.000000002970178,1.000000328411174,2.6019098638530025e-05,0.0028810236067084993,2.6018760147654515e-05,0.002876881412130385,1.40369429193e-05,0.0030427367484768,985741.4221138358,5350.212231013651,0.0054276021185561945,3401.3768539866664,aave_hourly_interpolated
2024-05-12 09:00:00+00:00,2024-05-12,9,1.0005409859243075,1.0049337734362787,1.0000000029701779,1.0000003284110661,2.6019096693419286e-05,0.002881022658661525,2.6018758202594385e-05,0.002876880466806909,1.40369429193e-05,0.0030427367484768,985736.3725253599,5350.21368847833,0.00542763140084971,3402.40444530875,aave_hourly_interpolated
2024-05-12 10:00:00+00:00,2024-05-12,10,1.0005409888960923,1.0049341034675423,1.000000002970178,1.0000003284109584,2.6019098638530025e-05,0.0028810217125652127,2.6018760147654515e-05,0.0028768795234284912,1.40369429193e-05,0.0030427367484768,985731.3229368838,5350.21514594301,0.005427660683443234,3403.4320366308334,aave_hourly_interpolated
2024-05-12 11:00:00+00:00,2024-05-12,11,1.0005409918678771,1.0049344334988057,1.0000000029701779,1.0000003284108503,2.6019096693419286e-05,0.0028810207625675766,2.6018758202594385e-05,0.002876878576159956,1.40369429193e-05,0.0030427367484768,985726.2733484077,5350.216603407689,0.0054276899663367704,3404.4596279529164,aave_hourly_interpolated
2024-05-12 12:00:00+00:00,2024-05-12,12,1.000540994839662,1.0049347635300692,1.0000000029701779,1.0000003284107424,2.6019096693419286e-05,0.0028810198145206023,2.6018758202594385e-05,0.0028768776308364776,1.40369429193e-05,0.0030427367484768,985721.2237599316,5350.218060872369,0.0054277192495303245,3405.487219275,aave_hourly_interpolated
2024-05-12 13:00:00+00:00,2024-05-12,13,1.0005409978114466,1.0049350935613328,1.0000000029701777,1.000000328410635,2.6019094748308547e-05,0.0028810188703749517,2.6018756257534254e-05,0.002876876689403115,1.40369429193e-05,0.0030427367484768,985716.1741714557,5350.219518337049,0.005427748533023899,3406.5148105970834,aave_hourly_interpolated
2024-05-12 14:00:00+00:00,2024-05-12,14,1.0005410007832314,1.0049354235925962,1.0000000029701779,1.0000003284105268,2.6019096693419286e-05,0.0028810179203773156,2.6018758202594385e-05,0.0028768757421345765,1.40369429193e-05,0.0030427367484768,985711.1245829796,5350.220975801728,0.0054277778168175,3407.5424019191664,aave_hourly_interpolated
2024-05-12 15:00:00+00:00,2024-05-12,15,1.0005410037550162,1.00493575362386,1.0000000029701779,1.000000328410419,2.6019096693419286e-05,0.0028810169742810032,2.6018758202594385e-05,0.002876874798756154,1.40369429193e-05,0.0030427367484768,985706.0749945035,5350.222433266407,0.0054278071009111325,3408.56999324125,aave_hourly_interpolated
